batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,150,101,10,170,6.315789474,8.910891089,1
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,27,31,7,144,7.887640449,5.225806452,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,38,34,5,156,8.23255814,6.705882353,1
Deccan Chargers,Royal Challengers Bangalore,Centurion,160,110,10,171,6.6,8.727272727,0
Sunrisers Hyderabad,Delhi Daredevils,Delhi,77,83,9,115,6.162162162,5.56626506,1
Sunrisers Hyderabad,Chennai Super Kings,Chennai,119,52,8,210,8.029411765,13.73076923,0
Kolkata Knight Riders,Kings XI Punjab,Pune,135,104,9,156,7.875,7.788461538,1
Deccan Chargers,Kolkata Knight Riders,Cape Town,51,67,8,102,5.773584906,4.567164179,1
Mumbai Indians,Rajasthan Royals,Mumbai,16,40,6,190,13.05,2.4,1
Chennai Super Kings,Rajasthan Royals,Kimberley,104,84,8,141,6.166666667,7.428571429,1
Deccan Chargers,Kings XI Punjab,Dharamsala,130,84,9,175,7.5,9.285714286,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,115,65,9,188,7.963636364,10.61538462,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,35,50,8,135,8.571428571,4.2,1
Mumbai Indians,Kings XI Punjab,Mumbai,96,56,7,169,6.84375,10.28571429,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,81,27,5,196,7.419354839,18.0,0
Chennai Super Kings,Rajasthan Royals,Chennai,87,69,9,147,7.058823529,7.565217391,1
Chennai Super Kings,Delhi Daredevils,Chennai,6,33,9,115,7.517241379,1.090909091,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,187,119,10,187,0.0,9.428571429,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,74,42,7,192,9.076923077,10.57142857,0
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,112,93,10,144,7.111111111,7.225806452,1
Rajasthan Royals,Kings XI Punjab,Jaipur,37,53,9,154,10.47761194,4.188679245,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,134,83,7,168,5.513513514,9.686746988,0
Kolkata Knight Riders,Rajasthan Royals,Jaipur,153,115,10,160,8.4,7.982608696,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,169,108,10,184,7.5,9.388888889,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,163,118,10,165,6.0,8.288135593,1
Kings XI Punjab,Delhi Daredevils,Mohali,49,38,7,173,9.073170732,7.736842105,1
Delhi Capitals,Kolkata Knight Riders,Delhi,187,111,10,194,4.666666667,10.10810811,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,64,57,6,156,8.761904762,6.736842105,1
Delhi Daredevils,Deccan Chargers,Hyderabad,49,38,6,176,9.292682927,7.736842105,1
Delhi Daredevils,Chennai Super Kings,Chennai,13,11,8,170,8.642201835,7.090909091,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,144,107,10,165,9.692307692,8.074766355,1
Rajasthan Royals,Kings XI Punjab,Cape Town,98,69,5,140,4.941176471,8.52173913,0
Mumbai Indians,Rajasthan Royals,Mumbai,190,119,10,190,0.0,9.579831933,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,128,100,9,163,10.5,7.68,1
Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,23,12,6,174,8.388888889,11.5,1
Sunrisers Hyderabad,Mumbai Indians,Mumbai,100,72,7,171,8.875,8.333333333,0
Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,184,114,10,188,4.0,9.684210526,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,148,117,10,151,6.0,7.58974359,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,156,105,10,175,7.6,8.914285714,1
Delhi Daredevils,Sunrisers Hyderabad,Unknown,68,31,8,185,7.887640449,13.16129032,0
Royal Challengers Bangalore,Deccan Chargers,Cape Town,153,83,8,185,5.189189189,11.06024096,0
Rajasthan Royals,Delhi Daredevils,Delhi,82,62,9,153,7.344827586,7.935483871,1
Chennai Super Kings,Mumbai Indians,Mumbai,61,41,7,174,8.582278481,8.926829268,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,130,82,9,201,11.21052632,9.512195122,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,2,3,7,166,8.41025641,4.0,1
Kings XI Punjab,Mumbai Indians,Chandigarh,115,60,8,190,7.5,11.5,0
Delhi Daredevils,Deccan Chargers,Cuttack,14,6,3,172,8.315789474,14.0,0
Kings XI Punjab,Kolkata Knight Riders,Indore,37,7,4,251,11.36283186,31.71428571,0
Rajasthan Royals,Deccan Chargers,Kimberley,79,34,4,167,6.139534884,13.94117647,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,96,111,9,107,7.333333333,5.189189189,0
Mumbai Indians,Chennai Super Kings,Chennai,79,34,5,209,9.069767442,13.94117647,0
Kings XI Punjab,Royal Challengers Bangalore,Durban,84,53,9,169,7.611940299,9.509433962,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,121,82,6,174,8.368421053,8.853658537,0
Royal Challengers Bangalore,Deccan Chargers,Nagpur,50,30,6,152,6.8,10.0,0
Kings XI Punjab,Royal Challengers Bangalore,Unknown,63,62,7,125,6.413793103,6.096774194,1
Kings XI Punjab,Deccan Chargers,Chandigarh,64,50,9,176,9.6,7.68,1
Chennai Super Kings,Mumbai Indians,Mumbai,41,17,3,188,8.563106796,14.47058824,0
Deccan Chargers,Kings XI Punjab,Dharamsala,56,44,8,175,9.394736842,7.636363636,1
Mumbai Indians,Delhi Daredevils,Delhi,63,28,6,191,8.347826087,13.5,0
Deccan Chargers,Mumbai Indians,Mumbai,33,62,10,155,12.62068966,3.193548387,1
Deccan Chargers,Rajasthan Royals,Hyderabad,33,35,7,127,6.635294118,5.657142857,1
Chennai Super Kings,Rajasthan Royals,Chennai,93,77,10,147,7.534883721,7.246753247,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,74,66,8,130,6.222222222,6.727272727,1
Chennai Super Kings,Kings XI Punjab,Mohali,187,114,10,199,12.0,9.842105263,0
Mumbai Indians,Chennai Super Kings,Chennai,79,35,6,209,9.176470588,13.54285714,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,119,107,10,139,9.230769231,6.672897196,1
Rajasthan Royals,Deccan Chargers,Jaipur,79,75,10,141,8.266666667,6.32,1
Delhi Daredevils,Mumbai Indians,Mumbai,170,108,10,184,7.0,9.444444444,0
Delhi Daredevils,Sunrisers Hyderabad,Delhi,146,95,9,186,9.6,9.221052632,1
Kolkata Knight Riders,Mumbai Indians,East London,41,25,7,149,6.821052632,9.84,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,182,114,10,187,5.0,9.578947368,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bengaluru,192,98,10,223,8.454545455,11.75510204,0
Kings XI Punjab,Mumbai Indians,Mumbai,190,116,10,198,12.0,9.827586207,0
Kings XI Punjab,Delhi Daredevils,Bloemfontein,86,92,8,121,7.5,5.608695652,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,51,25,6,152,6.378947368,12.24,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,104,46,9,196,7.459459459,13.56521739,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,93,43,7,190,7.558441558,12.97674419,1
Chennai Super Kings,Rajasthan Royals,Jaipur,74,59,8,127,5.213114754,7.525423729,1
Mumbai Indians,Deccan Chargers,Mumbai,5,12,5,101,5.333333333,2.5,1
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,4,1,5,151,7.411764706,24.0,0
Deccan Chargers,Chennai Super Kings,Chennai,71,51,8,166,8.260869565,8.352941176,0
Delhi Daredevils,Sunrisers Hyderabad,Raipur,91,48,6,164,6.083333333,11.375,0
Mumbai Indians,Chennai Super Kings,Bangalore,112,61,7,188,7.728813559,11.01639344,0
Delhi Daredevils,Mumbai Indians,Mumbai,15,44,7,93,6.157894737,2.045454545,1
Deccan Chargers,Rajasthan Royals,Nagpur,106,80,8,160,8.1,7.95,0
Mumbai Indians,Rajasthan Royals,Kolkata,24,14,5,166,8.037735849,10.28571429,1
Rajasthan Royals,Mumbai Indians,Jaipur,134,86,8,173,6.882352941,9.348837209,1
Kings XI Punjab,Chennai Super Kings,Dharamsala,45,48,7,121,6.333333333,5.625,1
Chennai Super Kings,Rajasthan Royals,Chennai,55,31,8,212,10.58426966,10.64516129,0
Kolkata Knight Riders,Kings XI Punjab,Cuttack,61,60,9,150,8.9,6.1,1
Delhi Capitals,Rajasthan Royals,Delhi,31,32,6,125,6.409090909,5.8125,1
Deccan Chargers,Chennai Super Kings,Durban,105,94,10,166,14.07692308,6.70212766,1
Rajasthan Royals,Royal Challengers Bangalore,Cape Town,125,96,8,134,2.25,7.8125,0
Rajasthan Royals,Mumbai Indians,Mumbai,13,6,5,213,10.52631579,13.0,0
Delhi Daredevils,Mumbai Indians,Delhi,77,69,10,162,10.0,6.695652174,1
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,105,77,7,133,3.906976744,8.181818182,0
Kings XI Punjab,Delhi Daredevils,Bloemfontein,49,41,7,121,5.46835443,7.170731707,1
Chennai Super Kings,Mumbai Indians,Chennai,91,59,7,149,5.704918033,9.254237288,0
Chennai Super Kings,Rajasthan Royals,Chennai,40,26,8,186,9.319148936,9.230769231,1
Chennai Super Kings,Mumbai Indians,Unknown,80,72,8,142,7.75,6.666666667,1
Kings XI Punjab,Mumbai Indians,Visakhapatnam,119,106,9,125,2.571428571,6.735849057,1
Mumbai Indians,Chennai Super Kings,Chennai,21,30,6,137,7.733333333,4.2,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,36,1,1,176,7.058823529,216.0,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,122,109,10,138,8.727272727,6.71559633,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,85,54,7,176,8.272727273,9.444444444,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,69,58,10,161,8.903225806,7.137931034,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,107,95,9,146,9.36,6.757894737,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,157,89,8,196,7.548387097,10.58426966,0
Chennai Super Kings,Kings XI Punjab,Chennai,135,115,10,137,2.4,7.043478261,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,8,2,5,157,7.576271186,24.0,0
Rajasthan Royals,Chennai Super Kings,Centurion,118,71,8,165,5.755102041,9.971830986,0
Kings XI Punjab,Kolkata Knight Riders,Indore,124,44,5,251,10.02631579,16.90909091,0
Kings XI Punjab,Mumbai Indians,Visakhapatnam,82,77,9,125,6.0,6.38961039,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,28,10,4,168,7.636363636,16.8,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,60,48,8,143,6.916666667,7.5,1
Deccan Chargers,Kolkata Knight Riders,Kolkata,95,61,8,182,8.847457627,9.344262295,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,150,97,10,180,7.826086957,9.278350515,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,22,42,9,165,11.0,3.142857143,1
Chennai Super Kings,Delhi Capitals,Delhi,38,41,8,155,8.886075949,5.56097561,1
Royal Challengers Bangalore,Mumbai Indians,Bangalore,54,19,4,210,9.267326733,17.05263158,0
Deccan Chargers,Kings XI Punjab,Johannesburg,49,30,5,135,5.733333333,9.8,0
Rajasthan Royals,Mumbai Indians,Jaipur,56,9,3,175,6.432432432,37.33333333,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,45,22,6,209,10.04081633,12.27272727,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,36,3,1,208,8.820512821,72.0,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,172,72,7,220,6.0,14.33333333,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,109,82,9,151,6.631578947,7.975609756,0
Kings XI Punjab,Delhi Daredevils,Delhi,172,102,9,189,5.666666667,10.11764706,0
Delhi Daredevils,Mumbai Indians,Visakhapatnam,111,41,4,207,7.291139241,16.24390244,0
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,119,102,10,140,7.0,7.0,1
Mumbai Indians,Deccan Chargers,Centurion,139,109,8,146,3.818181818,7.651376147,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,134,79,7,172,5.56097561,10.17721519,1
Chennai Super Kings,Mumbai Indians,Cape Town,148,102,8,166,6.0,8.705882353,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,122,112,10,127,3.75,6.535714286,0
Royal Challengers Bangalore,Deccan Chargers,Bangalore,165,110,10,182,10.2,9.0,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,68,36,7,152,6.0,11.33333333,1
Rajasthan Royals,Mumbai Indians,Mumbai,13,10,4,192,9.763636364,7.8,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,115,74,9,166,6.652173913,9.324324324,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,128,104,10,144,6.0,7.384615385,1
Rajasthan Royals,Kings XI Punjab,Cape Town,96,64,4,140,4.714285714,9.0,0
Mumbai Indians,Rajasthan Royals,Durban,85,51,6,146,5.304347826,10.0,0
Delhi Daredevils,Kings XI Punjab,Chandigarh,45,37,6,143,7.084337349,7.297297297,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,183,112,10,197,10.5,9.803571429,0
Chennai Super Kings,Mumbai Indians,Mumbai,130,81,8,188,8.923076923,9.62962963,0
Chennai Super Kings,Mumbai Indians,Chennai,149,108,9,160,5.5,8.277777778,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,97,91,10,148,10.55172414,6.395604396,1
Rajasthan Royals,Mumbai Indians,Mumbai,45,24,4,167,7.625,11.25,0
Mumbai Indians,Chennai Super Kings,Mumbai,7,39,9,157,11.11111111,1.076923077,1
Chennai Super Kings,Kolkata Knight Riders,Kolkata,56,49,8,159,8.704225352,6.857142857,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,93,60,9,176,8.3,9.3,0
Delhi Daredevils,Mumbai Indians,Mumbai,167,116,10,174,10.5,8.637931034,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,70,42,7,188,9.076923077,10.0,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,77,94,7,107,6.923076923,4.914893617,0
Chennai Super Kings,Sunrisers Hyderabad,Chennai,15,21,8,180,10.0,4.285714286,1
Mumbai Indians,Rajasthan Royals,Kolkata,38,25,7,166,8.084210526,9.12,1
Rajasthan Royals,Mumbai Indians,Ahmedabad,132,90,9,165,6.6,8.8,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,86,77,9,139,7.395348837,6.701298701,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,46,39,9,142,7.111111111,7.076923077,1
Delhi Daredevils,Mumbai Indians,Sharjah,104,96,10,126,5.5,6.5,1
Deccan Chargers,Royal Challengers Bangalore,Centurion,42,20,6,171,7.74,12.6,0
Mumbai Indians,Kings XI Punjab,Centurion,39,55,8,120,7.476923077,4.254545455,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,58,28,7,141,5.413043478,12.42857143,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,167,104,10,187,7.5,9.634615385,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,51,7,2,166,6.10619469,43.71428571,0
Rajasthan Royals,Mumbai Indians,Mumbai,61,46,9,192,10.62162162,7.956521739,1
Delhi Daredevils,Kings XI Punjab,Dharamsala,42,13,5,172,7.289719626,19.38461538,0
Mumbai Indians,Chennai Super Kings,Chennai,142,72,8,209,8.375,11.83333333,0
Mumbai Indians,Kings XI Punjab,Mumbai,107,66,8,190,9.222222222,9.727272727,0
Delhi Daredevils,Mumbai Indians,Mumbai,175,111,8,179,2.666666667,9.459459459,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,167,92,10,204,7.928571429,10.89130435,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,2,1,4,163,8.117647059,12.0,1
Rajasthan Royals,Sunrisers Hyderabad,Mumbai,45,15,4,202,8.971428571,18.0,0
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,70,42,7,206,10.46153846,10.0,1
Chennai Super Kings,Delhi Daredevils,Durban,51,35,6,190,9.811764706,8.742857143,0
Royal Challengers Bangalore,Deccan Chargers,Bangalore,156,98,10,182,7.090909091,9.551020408,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,134,64,9,206,7.714285714,12.5625,1
Kings XI Punjab,Delhi Daredevils,Delhi,188,118,10,189,3.0,9.559322034,0
Chennai Super Kings,Kings XI Punjab,Chennai,85,56,7,157,6.75,9.107142857,0
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,135,92,9,166,6.642857143,8.804347826,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,220,117,10,224,8.0,11.28205128,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,27,10,3,149,6.654545455,16.2,0
Kings XI Punjab,Delhi Daredevils,Delhi,228,117,10,232,8.0,11.69230769,0
Chennai Super Kings,Royal Challengers Bangalore,Pune,48,49,7,132,7.098591549,5.87755102,1
Kings XI Punjab,Rajasthan Royals,Chandigarh,170,114,10,178,8.0,8.947368421,0
Chennai Super Kings,Kings XI Punjab,Mohali,126,72,7,199,9.125,10.5,0
Delhi Daredevils,Chennai Super Kings,Raipur,23,30,7,120,6.466666667,4.6,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,108,38,5,233,9.146341463,17.05263158,0
Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,165,104,10,182,6.375,9.519230769,1
Rajasthan Royals,Mumbai Indians,Mumbai,14,48,10,134,10.0,1.75,1
Kings XI Punjab,Delhi Daredevils,Delhi,124,58,6,189,6.290322581,12.82758621,0
Delhi Daredevils,Mumbai Indians,Delhi,92,62,8,177,8.793103448,8.903225806,1
Delhi Capitals,Mumbai Indians,Delhi,78,26,5,175,6.191489362,18.0,0
Chennai Super Kings,Mumbai Indians,Mumbai,90,45,5,170,6.4,12.0,1
Rajasthan Royals,Mumbai Indians,Mumbai,125,63,8,198,7.684210526,11.9047619,0
Rajasthan Royals,Mumbai Indians,Mumbai,80,39,6,213,9.851851852,12.30769231,0
Deccan Chargers,Kolkata Knight Riders,Hyderabad,114,48,6,205,7.583333333,14.25,0
Mumbai Indians,Chennai Super Kings,Mumbai,76,36,7,169,6.642857143,12.66666667,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,138,85,10,204,11.31428571,9.741176471,1
Delhi Daredevils,Deccan Chargers,Hyderabad,20,18,5,176,9.176470588,6.666666667,1
Chennai Super Kings,Rajasthan Royals,Jaipur,95,53,6,159,5.731343284,10.75471698,1
Kings XI Punjab,Deccan Chargers,Kimberley,113,78,8,169,8.0,8.692307692,1
Deccan Chargers,Chennai Super Kings,Chennai,59,30,7,161,6.8,11.8,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,111,91,10,165,11.17241379,7.318681319,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,132,87,9,186,9.818181818,9.103448276,1
Delhi Daredevils,Mumbai Indians,East London,83,88,10,117,6.375,5.659090909,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,130,21,3,234,6.303030303,37.14285714,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,175,105,8,183,3.2,10.0,0
Delhi Daredevils,Rajasthan Royals,Mumbai,70,30,6,190,8.0,14.0,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,115,65,9,172,6.218181818,10.61538462,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,133,111,10,141,5.333333333,7.189189189,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,2,9,7,158,8.432432432,1.333333333,1
Deccan Chargers,Chennai Super Kings,Nagpur,2,5,6,139,7.147826087,2.4,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,114,59,9,204,8.852459016,11.59322034,1
Kolkata Knight Riders,Delhi Daredevils,Kolkata,17,45,9,99,6.56,2.266666667,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,105,87,10,154,8.909090909,7.24137931,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,86,49,7,192,8.957746479,10.53061224,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,136,59,7,228,9.049180328,13.83050847,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,168,109,10,186,9.818181818,9.247706422,1
Deccan Chargers,Rajasthan Royals,Hyderabad,97,101,10,127,9.473684211,5.762376238,1
Kings XI Punjab,Mumbai Indians,Mumbai,33,16,2,175,8.192307692,12.375,0
Kings XI Punjab,Rajasthan Royals,Chandigarh,77,55,8,184,9.876923077,8.4,0
Chennai Super Kings,Sunrisers Hyderabad,Pune,152,92,10,193,8.785714286,9.913043478,1
Delhi Capitals,Kings XI Punjab,Mohali,152,103,9,176,8.470588235,8.854368932,0
Delhi Capitals,Kolkata Knight Riders,Delhi,173,106,10,194,9.0,9.79245283,1
Rajasthan Royals,Delhi Daredevils,Delhi,135,78,6,189,7.714285714,10.38461538,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,167,89,8,206,7.548387097,11.25842697,0
Delhi Daredevils,Deccan Chargers,Centurion,56,44,7,149,7.342105263,7.636363636,1
Mumbai Indians,Rajasthan Royals,Kolkata,109,75,10,166,7.6,8.72,1
Royal Challengers Bangalore,Chennai Super Kings,Chennai,153,90,7,184,6.2,10.2,0
Kings XI Punjab,Mumbai Indians,Visakhapatnam,26,38,9,125,7.243902439,4.105263158,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,194,72,4,234,5.0,16.16666667,0
Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,86,50,6,158,6.171428571,10.32,0
Delhi Daredevils,Kings XI Punjab,Dharamsala,114,98,10,142,7.636363636,6.979591837,1
Delhi Daredevils,Mumbai Indians,Delhi,48,31,6,177,8.696629213,9.290322581,1
Chennai Super Kings,Kolkata Knight Riders,Chennai,106,49,7,208,8.61971831,12.97959184,1
Kings XI Punjab,Chennai Super Kings,Chennai,67,30,4,182,7.666666667,13.4,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,122,58,8,185,6.096774194,12.62068966,0
Rajasthan Royals,Delhi Daredevils,Delhi,61,31,6,185,8.359550562,11.80645161,1
Kolkata Knight Riders,Rajasthan Royals,Abu Dhabi,12,8,5,153,7.553571429,9.0,0
Deccan Chargers,Royal Challengers Bangalore,Bangalore,144,80,9,185,6.15,10.8,1
Deccan Chargers,Kolkata Knight Riders,Hyderabad,105,63,8,170,6.842105263,10.0,0
Chennai Super Kings,Deccan Chargers,Chennai,53,10,1,191,7.527272727,31.8,0
Kolkata Knight Riders,Mumbai Indians,East London,106,74,8,149,5.608695652,8.594594595,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,109,80,9,161,7.8,8.175,1
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,117,92,10,151,7.285714286,7.630434783,0
Chennai Super Kings,Mumbai Indians,Chennai,99,65,7,149,5.454545455,9.138461538,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,33,64,8,75,4.5,3.09375,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,1,9,6,206,11.08108108,0.666666667,1
Chennai Super Kings,Mumbai Indians,Cape Town,22,2,3,166,7.322033898,66.0,0
Kings XI Punjab,Delhi Daredevils,Delhi,228,115,10,232,4.8,11.89565217,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,90,56,9,180,8.4375,9.642857143,0
Royal Challengers Bangalore,Deccan Chargers,Cape Town,119,53,6,185,5.910447761,13.47169811,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,55,57,9,147,8.761904762,5.789473684,1
Chennai Super Kings,Kings XI Punjab,Dharamsala,35,13,6,193,8.859813084,16.15384615,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,119,83,9,206,14.10810811,8.602409639,1
Mumbai Indians,Kings XI Punjab,Centurion,11,36,8,120,7.785714286,1.833333333,1
Chennai Super Kings,Kings XI Punjab,Chennai,123,103,10,137,4.941176471,7.165048544,0
Royal Challengers Bangalore,Delhi Daredevils,Bengaluru,38,29,7,187,9.824175824,7.862068966,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,140,82,10,190,7.894736842,10.24390244,0
Mumbai Indians,Deccan Chargers,Mumbai,94,107,9,101,3.230769231,5.271028037,1
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,83,55,7,133,4.615384615,9.054545455,0
Delhi Daredevils,Kolkata Knight Riders,Kolkata,138,88,10,172,6.375,9.409090909,0
Mumbai Indians,Sunrisers Hyderabad,Unknown,167,114,10,173,6.0,8.789473684,0
Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,146,100,8,164,5.4,8.76,1
Rajasthan Royals,Mumbai Indians,Mumbai,145,96,8,167,5.5,9.0625,0
Kings XI Punjab,Delhi Daredevils,Delhi,228,114,10,232,4.0,12.0,0
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,183,105,10,206,9.2,10.45714286,1
Chennai Super Kings,Kolkata Knight Riders,Chennai,186,112,10,208,16.5,9.964285714,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,179,119,10,179,0.0,9.025210084,1
Delhi Daredevils,Deccan Chargers,Hyderabad,119,71,7,176,6.979591837,10.05633803,1
Deccan Chargers,Chennai Super Kings,Nagpur,4,6,6,139,7.105263158,4.0,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,58,35,8,184,8.894117647,9.942857143,1
Kings XI Punjab,Chennai Super Kings,Durban,65,38,6,117,3.804878049,10.26315789,0
Chennai Super Kings,Rajasthan Royals,Chennai,148,96,9,186,9.5,9.25,1
Kings XI Punjab,Deccan Chargers,Cuttack,132,79,7,171,5.707317073,10.02531646,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,114,44,7,191,6.078947368,15.54545455,0
Mumbai Indians,Deccan Chargers,Durban,152,98,9,169,4.636363636,9.306122449,0
Rajasthan Royals,Chennai Super Kings,Mumbai,138,98,9,164,7.090909091,8.448979592,1
Deccan Chargers,Chennai Super Kings,Chennai,110,80,9,161,7.65,8.25,0
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,92,64,7,133,4.392857143,8.625,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,106,39,5,192,6.37037037,16.30769231,0
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,52,22,3,149,5.93877551,14.18181818,1
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,90,55,8,137,4.338461538,9.818181818,0
Delhi Daredevils,Rajasthan Royals,Mumbai,115,38,2,193,5.707317073,18.15789474,0
Rajasthan Royals,Sunrisers Hyderabad,Abu Dhabi,126,109,9,134,4.363636364,6.935779817,1
Rajasthan Royals,Mumbai Indians,Mumbai,23,5,3,167,7.513043478,27.6,0
Kings XI Punjab,Deccan Chargers,Kimberley,120,81,8,169,7.538461538,8.888888889,1
Rajasthan Royals,Mumbai Indians,Jaipur,9,7,5,172,8.654867257,7.714285714,1
Mumbai Indians,Chennai Super Kings,Pune,38,21,8,177,8.424242424,10.85714286,1
Kings XI Punjab,Chennai Super Kings,Dharamsala,68,76,9,121,7.227272727,5.368421053,1
Rajasthan Royals,Mumbai Indians,Mumbai,100,67,9,178,8.830188679,8.955223881,1
Delhi Daredevils,Rajasthan Royals,Mumbai,189,117,10,193,8.0,9.692307692,0
